image_name,L,a,b,treatment,rep,before_after,date_collected,trial_duration_days,date_photo
20Oct_fresh_s,58,13,7,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_s,55,14,8,NA,NA,before,10/20/22,0,10/20/22
20Oct_NL1a,60,6,3,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1a,65,5,4,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1a,63,5,2,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1b,59,6,4,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1b,63,4,1,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1c,63,7,5,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1c,65,4,2,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1c,62,5,-1,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1d,69,6,6,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1d,64,7,6,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1e,63,7,3,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1e,62,7,6,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1e,63,1,-4,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1f,63,5,3,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1f,61,6,1,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1g,60,6,4,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1g,69,4,2,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1h,67,4,2,NL,1,after,10/20/22,7,10/28/22
20Oct_NL1h,63,3,-2,NL,1,after,10/20/22,7,10/28/22
20Oct_NL2a,59,7,3,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2a,59,6,4,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2a,59,5,0,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2b,62,5,2,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2b,62,5,1,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2c,57,10,5,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2c,64,4,3,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2c,62,3,0,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2d,62,6,3,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2d,54,10,5,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2e,53,10,2,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2e,54,5,0,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2e,64,6,4,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2f,55,5,-1,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2f,60,4,2,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2g,65,9,7,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2g,67,6,5,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2g,59,6,1,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2h,60,7,4,NL,2,after,10/20/22,7,10/28/22
20Oct_NL2h,63,7,4,NL,2,after,10/20/22,7,10/28/22
20Oct_NL3a,60,5,2,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3a,64,7,6,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3a,58,6,1,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3b,63,4,0,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3b,60,4,0,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3c,69,4,3,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3c,69,6,7,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3c,67,6,5,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3d,71,5,3,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3d,70,5,2,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3e,69,9,8,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3e,62,2,-3,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3e,70,4,3,NL,3,after,10/20/22,7,10/28/22
20Oct_NL3f,66,8,9,NL,3,after,10/20/22,7,10/28/22
